,ID,longitude,latitude,ST,TS,TS_PCODE
0,1,95.85458374,17.49751091,Yangon,Taikkyi,MMR013005
1,2,98.13385773,22.03619957,Shan (South),Kyethi,MMR014015
2,3,99.28331757,20.38167953,Shan (East),Monghsat,MMR016006
3,4,98.13385773,22.03619957,Shan (South),Kyethi,MMR014015
4,5,98.40000153,22.48333359,Shan (North),Tangyan,MMR015004
5,6,97.60248566,23.71450424,Shan (North),Namhkan,MMR015010
6,7,96.36873627,24.76786041,Kachin,Mohnyin,MMR001007
7,8,96.53874207,23.64952087,Shan (North),Mabein,MMR015018
8,9,96.57833862,25.70396233,Kachin,Hpakant,MMR001009
9,10,96.34822845,25.62073708,Kachin,Hpakant,MMR001009
10,11,97.73442841,23.98334885,Shan (North),Namhsan,MMR015016
11,12,97.69360352,23.84964943,Shan (North),Namhkan,MMR015010
12,13,97.94341278,23.45920944,Shan (North),Kutkai,MMR015011
13,14,97.74629211,23.86095428,Shan (North),Namhkan,MMR015010
14,15,96.44761658,24.76654625,Kachin,Mohnyin,MMR001007
15,16,97.90472412,23.97916794,Shan (North),Muse,MMR015009
16,17,98.2468338,24.04632378,Shan (North),Muse,MMR015009
17,18,97.65901184,23.86497688,Shan (North),Namhkan,MMR015010
18,19,97.68167114,23.83600998,Shan (North),Namhkan,MMR015010
19,20,97.18333435,20.78333282,Shan (South),Hopong,MMR014003
20,21,98.13385773,22.03619957,Shan (South),Kyethi,MMR014015
21,22,97.17034912,22.96895981,Shan (North),Namhsan,MMR015016
22,23,97.74622345,22.94271088,Shan (North),Lashio,MMR015001
23,24,96.77099609,18.32813644,Bago (East),Kyaukkyi,MMR007011
24,25,97.19509888,23.374637600000003,Shan (North),Manton,MMR015019
25,26,97.37761688,23.54200363,Shan (North),Manton,MMR015019
26,27,98.05448151,24.06186295,Shan (North),Muse,MMR015009
27,28,97.17034912,22.96895981,Shan (North),Namhsan,MMR015016
28,29,98.05615234,22.63326073,Shan (North),Mongyai,MMR015003
29,30,98.02187347,24.03526115,Shan (North),Muse,MMR015009
30,31,98.20017242,24.07733917,Shan (North),Muse,MMR015009
31,32,97.61601257,23.47481728,Shan (North),Kutkai,MMR015011
32,33,97.15287018,23.02168083,Shan (North),Namhsan,MMR015016
33,34,98.13683319,23.49024582,Shan (North),Kutkai,MMR015011
34,35,97.94113922,23.96201515,Shan (North),Muse,MMR015009
35,36,97.46632385,23.93714905,Kachin,Mansi,MMR001013
36,37,97.87788391,23.47631264,Shan (North),Kutkai,MMR015011
37,38,97.78904724,21.9412117,Shan (South),Kyethi,MMR014015
38,39,97.75952148,23.50252533,Shan (North),Kutkai,MMR015011
39,40,97.72793579,23.58184242,Shan (North),Kutkai,MMR015011
40,41,98.09692383,22.53193855,Shan (North),Tangyan,MMR015004
41,42,97.69918059999999,23.84007263,Shan (North),Namhkan,MMR015010
42,43,98.06331635,24.05884361,Shan (North),Muse,MMR015009
43,44,93.14912415,20.22225189,Rakhine,Minbya,MMR012005
44,45,94.36183167,18.4627533,Rakhine,Thandwe,MMR012015
45,46,96.80405426,22.37634659,Shan (North),Nawnghkio,MMR015013
46,47,98.43097687,21.90808868,Shan (South),Monghsu,MMR014017
47,48,98.39723969,21.90597725,Shan (South),Monghsu,MMR014017
48,49,99.51888275,11.85281563,Tanintharyi,Tanintharyi,MMR006008
49,50,96.07273102,21.97046661,Mandalay,Chanayethazan,MMR010002
50,51,98.10765076,24.0542984,Shan (North),Muse,MMR015009
51,52,97.37482452,22.92637825,Shan (North),Namtu,MMR015015
52,53,97.12094116,23.25021553,Shan (North),Manton,MMR015019
53,54,96.94005585,22.58145905,Shan (North),Kyaukme,MMR015012
54,55,97.8714447,23.48898697,Shan (North),Kutkai,MMR015011
55,56,97.78973389,23.50252533,Shan (North),Kutkai,MMR015011
56,57,98.26274872,24.04614639,Shan (North),Muse,MMR015009
57,58,96.98549652,22.77669334,Shan (North),Kyaukme,MMR015012
58,59,97.65910339,16.88824654,Kayin,Hpa-An,MMR003001
59,60,97.41207886,18.34955215,Kayin,Hpapun,MMR003003
60,61,98.27553558,26.1830883,Kachin,Tsawlaw,MMR001006
61,62,98.15640259,25.94129562,Kachin,Chipwi,MMR001005
62,63,98.36276245,20.30536652,Shan (South),Mongpan,MMR014021
