,Catchment  Annual Rainfall (mm),"Total Powerplant Design Discharge (m3/s)
","Transmission Line Length (km)
","Transmission Line Voltage level (kV)
","Turbine Discharge/ Min Flow
","Transmission Line Connected to S/S
","Full Supply Level (FSL) (m)
",Powerhouse Type,Dam Type,"Reservoir Area (km2)
","Estimated No. Construction Workers (planned projects)
","Total Length of Reservoir (km)
","Reservoir Live Storage (hm3)
","Reservoir Dead Storage (hm3)
","Reservoir Retention Period (days)
",Run-of-River or Storage,Township,"Myanmar Selfuse (MW)
",% use MYA,Export (MW),Height (m),Qmin/ MAF,Crest Length (m),"Distance along river between dam and powerhouse (km)
",Plant Factor,Installed Capacity (MW),Financiers,"GIS Rainfall
","Max reservoir area (FSL) (km2)
","Unit Flow (l/s/km2)
",District,"Mean annual inflow (MAF) into reservoir (m3/s)
",Developers,"Sub-Basin (GIS Maps)
",Status (labelled by IFC),State/Region,Basin,Annual Runoff into Reservoir (hm3),"Catchment Area (km2)
","Sub-Basin (HP Chapter)
","Mean annual energy (GW)
",Total storage (FSL) (mil. m3),Notes,River,Function,Country,Location_L,Location_1,Status,Project Name,COD Year,Project ID,geometry,ST,TS,TS_PCODE
0,,46.0,5.0,132,1.6,Baluchaung 2,867.0,Above ground,CG,0.0,,0.2,2.0,0.0,1.0,RoR,Loikaw,28.0,1.0,0.0,11,0.81,,10.3,0.82,28.0,Sole Investment,1493.0,0.0,4.6,Loikaw,36.5,MoEE,Baluchaung,Built,Kayah,Thanlwin,1151.0,7872.0,Nam Pawn,28,2,http://globalenergyobservatory.org/geoid/41487,Baluchaung,HP,Myanmar,97.287,19.648,Complete,Baluchaung 1,1992,DAM0001,POINT (97.28700000000001 19.648),Kayah,Loikaw,MMR002001
0,,48.0,0.0,230,1.6,Taungoo and Shwemyo,787.0,Above ground,Weir,0.0,,0.0,0.0,0.0,0.0,RoR,Loikaw,168.0,1.0,0.0,-,0.79,,7.1,0.81,168.0,Sole Investment,1493.0,0.0,4.8,Loikaw,38.0,MoEE,Baluchaung,Built,Kayah,Thanlwin,1198.0,7910.0,Nam Pawn,168,-,"This is definitely Baluchaung II. The sequence is, however, confusing, and there would appear to be four dams here, not just three.",Baluchaung,HP,Myanmar,97.358,19.557,Complete,Baluchaung 2,1974,DAM0002,POINT (97.358 19.557),Kayah,Loikaw,MMR002001
0,,51.0,5.0,132,1.7,Baluchaung 3,339.0,Above ground,Intake,0.0,,0.0,0.0,0.0,0.0,RoR,Loikaw,52.0,1.0,0.0,-,0.75,,5.1,0.73,52.0,Local BOT,1493.0,,5.0,Loikaw,40.2,Future Energy,Baluchaung,Built,Kayah,Thanlwin,1268.0,8042.0,Nam Pawn,52,-,"Not sure if this is a dam - may just be infrastructure. But assuming the sequence runs from Baluchaung 1 through 3, from north to south; and we know Baluchaung 2 is correct, then this is the only structure that can be Baluchaung 3.",Baluchaung,HP,Myanmar,97.397,19.546,Complete,Baluchaung 3,2014,DAM0003,POINT (97.39700000000001 19.546),Kayah,Loikaw,MMR002001
0,1925.0,16.0,32.0,66,3.3,Kalaw,1140.0,Above ground,,9.7,,,,,,,Pin Laung,30.0,1.0,0.0,35,0.43,,3.0,0.34,30.0,Local BOT,1493.0,,31.1,Taunggyi,11.1,NeoEnergy Oasis,Baluchaung,Construction,Shan,Thanlwin,349.0,356.0,Nam Pawn,30,,https://cdm.unfccc.int/filestorage/M/A/B/MABJRWF82L1DGKX4QCNOVSEH673ZP0/PDD_UB-2_ver1_131031.pdf?t=VGh8bzMxbDF5fDBh34XFFoXWAt3fwfAVE7xS,Baluchaung,HP,Myanmar,96.781918,20.484592,UC,Baluchaung (upper),2019,DAM0004,POINT (96.781918 20.484592),Shan (South),Pinlaung,MMR014009
0,,,,,,,,,Rockfill,19.4,700.0,,278.0,557.0,339.0,S,Kyauk Gyi,160.0,1.0,0.0,80,0.09,,0.0,0.36,160.0,Local BOT,2806.0,,36.5,Taungoo,9.5,Thoolei,Bawgata,LocMoU,Bago,Sittaung,300.0,260.0,Bawgata,160,835,,Bawgata,HP,Myanmar,96.848496,18.255561,Proposed,Bawgata,2020,DAM0005,POINT (96.848496 18.255561),Bago (East),Kyaukkyi,MMR007011
0,3700.0,,61.0,230,,Thaton,,,,310.0,1100.0,,9491.0,220.0,578.0,S,Bilin,280.0,1.0,0.0,131,0.05,,0.0,-,280.0,Local BOT,3138.0,,84.4,Thaton,190.0,HCDG,Bilin,LocMoU,Mon,Bilin,5992.0,2250.0,Bilin,280,9711,,Bilin River,HP,Myanmar,97.243546,17.519723,Proposed,Belin,2021,DAM0006,POINT (97.24354599999999 17.519723),Mon,Bilin,MMR011010
0,,,,,,,,,,76.2,600.0,,119.0,602.0,17.0,S,Setotaya,150.0,1.0,0.0,138,0.09,,0.0,0.41,150.0,Sole Investment,1694.0,,34.3,Minbu,79.0,MOALI,Mone Chaung,GOM Plan,Magway,Ayeyarwady,2491.0,2305.0,Mone Chaung,150,721,,Mon Chaung,MP,Myanmar,94.0818,20.76609,Proposed,Buywa (upper),2019,DAM0007,POINT (94.0818 20.76609),Magway,Sidoktaya,MMR009011
0,,,,,,,,,,38.1,,,139.0,70.0,0.0,-,Setotaya,42.0,1.0,0.0,46,,,0.0,-,42.0,Sole Investment,1694.0,,,Minbu,,MOALI,Mone Chaung,Construction,Magway,Ayeyarwady,0.0,3108.0,Mone Chaung,42,209,,Mon Chaung,MP,Myanmar,94.150833,20.658056,UC,Buywa,2018,DAM0008,POINT (94.15083300000001 20.658056),Magway,Sidoktaya,MMR009011
0,,2762.0,,,5.7,,400.0,Underground,CFRD,27.7,10700.0,62.0,380.0,1530.0,2.0,RoR,Chipwi,340.0,0.5,1700.0,203,0.22,,0.0,0.61,3400.0,Foreign JV/BOT,1540.0,,101.7,Myitkyina,2210.0,CPI,Nmae Hka,JVA,Kachin,Ayeyarwady,69695.0,21734.0,Ayeyarwady Headwaters,3400,1910,,N'Mai  Hka,HP,PRC,98.12572,25.8905,Proposed,Chipwi,2020,DAM0009,POINT (98.12572 25.8905),Kachin,Chipwi,MMR001005
0,,26.0,98.0,132,5.6,Waingmaw,740.0,Above ground,CG,0.1,,0.7,0.0,1.0,0.0,RoR,Chipwi,20.0,0.2,79.0,48,0.12,,16.7,0.69,99.0,Foreign JV/BOT,1540.0,,72.6,Myitkyina,40.1,SPIC,Nmae Hka,Built,Kachin,Ayeyarwady,1265.0,552.0,Ayeyarwady Headwaters,99,1,,Chipwi Hka,HP,PRC,98.184039,25.806073,Complete,Chipwi Nge,2013,DAM0010,POINT (98.184039 25.806073),Kachin,Chipwi,MMR001005
